name,price,ram,ram_unit,rom_type,rom,rom_unit,screen_size,screen_detail,cpu,gpu,battery,weight,rating,link_href,brand,series
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),10.990.000,8,GB,SSD,512,GB,15.6,Full HD (1920 x 1080),"CPU: Ryzen 7, 5700U, 1.8GHz",Card: Radeon,"Pin: 3-cell, 50Wh",1.7,4.9,https://www.thegioididong.com/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002,ACER,Aspire
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),13.990.000,16,GB,SSD,512,GB,14.0,Full HD+ (1920 x 1200),"CPU: i5, 1235U, 1.3GHz",Card: Intel UHD,"Pin: 3-cell Li-ion, 58 Wh",1.5,5.0,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,ACER,Aspire
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),11.890.000,16,GB,SSD,512,GB,14.0,WUXGA,"CPU: Ryzen 7, 5700U, 1.8GHz",Card: Radeon,"Pin: 3-cell, 50Wh",1.4,4.9,https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,ACER,Aspire
Acer Aspire Lite 14 51M 36MH i3 1215U (NX.KTVSV.001),9.490.000,8,GB,SSD,256,GB,14.0,Full HD+ (1920 x 1200),"CPU: i3, 1215U, 1.2GHz",Card: Intel UHD,"Pin: 3-cell Li-ion, 58 Wh",1.5,5.0,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001,ACER,Aspire
Acer Aspire Lite 14 51M 36PN i3 1215U (NX.KTWSV.001),9.990.000,8,GB,SSD,512,GB,14.0,Full HD+ (1920 x 1200),"CPU: i3, 1215U, 1.2GHz",Card: Intel UHD,"Pin: 3-cell Li-ion, 58 Wh",1.5,5.0,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001,ACER,Aspire
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N),8.990.000,8,GB,SSD,256,GB,15.6,Full HD (1920 x 1080),"CPU: i5, 1135G7, 2.4GHz",Card: Intel Iris Xe,"Pin: 2-cell, 36.7Wh",1.7,4.9,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-529v-i5-nxaddsv00n,ACER,Aspire
Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX (NH.QLUSV.005),25.490.000,16,GB,SSD,512,GB,16.0,"WUXGA, 165Hz","CPU: i5, 13500HX, 2.5GHz",Card: RTX 4060 8GB,"Pin: 4-cell, 90Wh",2.6,4.9,https://www.thegioididong.com/laptop/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005,ACER,Predator
Acer Aspire 5 A515 58P 34RJ i3 1315U (NX.KHJSV.003),9.990.000,8,GB,SSD,512,GB,15.6,Full HD (1920 x 1080),"CPU: i3, 1315U, 1.2GHz",Card: Intel UHD,"Pin: 3-cell, 50Wh",1.7,4.9,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,ACER,Aspire
Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002),16.990.000,16,GB,SSD,512,GB,15.6,Full HD (1920 x 1080),"CPU: i5, 13420H, 2.1GHz",Card: RTX 2050 4GB,"Pin: 3-cell, 50Wh",1.7,4.9,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,ACER,Aspire
Acer Aspire 5 A514 56P 742F i7 1355U (NX.KHRSV.005),13.990.000,16,GB,SSD,512,GB,14.0,WUXGA,"CPU: i7, 1355U, 1.7GHz",Card: Intel Iris Xe,"Pin: 3-cell, 50Wh",1.5,5.0,https://www.thegioididong.com/laptop/acer-aspire-5-a514-56p-742f-i7-nxkhrsv005,ACER,Aspire
